run,tag,step,value
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,106,55.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,107,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,108,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,109,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,110,54.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,111,57.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,112,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,113,59.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,114,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,115,49.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,116,54.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,117,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,118,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,119,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,120,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,121,75.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,122,70.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,123,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,124,59.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,125,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,126,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,127,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,128,96.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,129,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,130,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,131,53.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,132,78.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,133,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,134,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,135,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,136,61.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,137,48.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,138,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,139,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,140,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,141,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,142,58.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,143,84.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,144,55.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,145,60.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,146,50.0
